Species	Kingdom	Class	Size (Mb)	GC%	Number of genes	Number of proteins	Publication year	Assembly status
Odocoileus virginianus	Animals	Mammals	15.0023	45.6	-	-	2011	Contig
Phytophthora cinnamomi	Protists	Other Protists	62.7975	-	-	-	2017	Scaffold
Eschrichtius robustus	Animals	Mammals	2617.57	41.2	-	-	2019	Scaffold
Starmerella bacillaris	Fungi	Ascomycetes	9.32838	39.5	-	-	2017	Contig
Scleropages formosus	Animals	Fishes	738.4069999999998	43.9	-	-	2016	Scaffold
Acanthaster planci	Animals	Other Animals	2.58492	41.5	-	-	2015	Scaffold
Toxocara canis	Animals	Roundworms	299.788	38.7	20249	20220	2018	Scaffold
Tilletia indica	Fungi	Basidiomycetes	26.706	30.3	-	-	2018	Contig
Trichophyton mentagrophytes	Fungi	Ascomycetes	23.1181	24	-	-	2018	Contig
Castor canadensis	Animals	Mammals	4167.12	23.5	-	-	2017	Scaffold
Lagenaria siceraria	Plants	Land Plants	326.59	30.3	-	-	2018	Scaffold
Capra hircus	Animals	Mammals	3041.62	41.9161	-	-	2019	Chromosome
Camelus dromedarius	Animals	Mammals	2055.06	41.5	-	-	2014	Scaffold
Silene latifolia	Plants	Land Plants	36.0486	-	-	-	2016	Contig
Gossypium barbadense	Plants	Land Plants	1394.24	35.6	40359	40359	2018	Scaffold
Penicillium chrysogenum KF-25	Fungi	Ascomycetes	29.9175	49	-	-	2015	Scaffold
Heliconius cydno alithea	Animals	Insects	113.86	42.6	-	-	2015	Scaffold
Cyprinus carpio	Animals	Fishes	1414.71	35.5	-	-	2019	Scaffold
Heliconius melpomene malleti	Animals	Insects	157.19	60.2	-	-	2015	Scaffold
Trypanosoma congolense IL3000	Protists	Kinetoplasts	18.8055	47.6	6272	5984	2011	Scaffold
Capsicum annuum var. glabriusculum	Plants	Land Plants	2768.13	35.7441	-	-	2014	Chromosome
Brassica oleracea var. capitata	Plants	Land Plants	514.431	37.2	-	-	2014	Scaffold
Kluyveromyces marxianus	Fungi	Ascomycetes	10.9145	40.1475	-	-	2016	Complete Genome
Meloidogyne arenaria	Animals	Roundworms	258.067	29.8	-	-	2017	Scaffold
Drosophila miranda	Animals	Insects	131.486	44.3	-	-	2015	Scaffold
Rhinolophus ferrumequinum	Animals	Mammals	1926.44	40.6	-	-	2013	Scaffold
Aegilops tauschii subsp. strangulata	Plants	Land Plants	4224.92	46.4976	-	-	2017	Chromosome
Spodoptera frugiperda	Animals	Insects	358.048	33	-	-	2014	Scaffold
Lentinula edodes 135B	Fungi	Basidiomycetes	37.6382	46	-	-	2017	Scaffold
Pneumocystis jirovecii	Fungi	Ascomycetes	8.08827	28	-	-	2017	Contig
Plasmopara viticola	Protists	Other Protists	83.5424	42.4	-	-	2018	Scaffold
Vigna unguiculata	Plants	Land Plants	633.739	-	-	-	2018	Scaffold
Lupinus angustifolius	Plants	Land Plants	523.298	34.5	-	-	2013	Scaffold
Trifolium pratense	Plants	Land Plants	304.972	32.8	63900	63681	2014	Contig
Alternaria alternata	Fungi	Ascomycetes	34.3559	51	12048	12048	2016	Contig
Claviceps purpurea	Fungi	Ascomycetes	30.2518	51.7	-	-	2019	Contig
Fusarium circinatum	Fungi	Ascomycetes	46.325	44.7	-	-	2018	Scaffold
Mortierella alpina	Fungi	Other Fungi	36.3052	51.8	-	-	2015	Contig
Cercospora beticola	Fungi	Ascomycetes	36.55	51.2	-	-	2018	Scaffold
Ganoderma lucidum BCRC 37177	Fungi	Basidiomycetes	44.0804	55.5	-	-	2013	Contig
Picea glauca	Plants	Land Plants	258.272	37.9	-	-	2016	Contig
Penicillium expansum NRRL 62431	Fungi	Ascomycetes	31.5475	48.5	-	-	2014	Contig
Ophiocordyceps sinensis	Fungi	Ascomycetes	112.137	44.7	-	-	2017	Scaffold
Leptosphaeria maculans	Fungi	Ascomycetes	45.9865	44.6	-	-	2018	Scaffold
Fusarium virguliforme	Fungi	Ascomycetes	50.1523	50.9	-	-	2016	Contig
Sesamum indicum	Plants	Land Plants	340.464	35	-	-	2015	Scaffold
Rhizoctonia solani AG-1 IB	Fungi	Basidiomycetes	46.9144	48.2	12860	12616	2015	Scaffold
Cannabis sativa	Plants	Land Plants	875.722	36.1459	-	-	2019	Chromosome
Babesia microti	Protists	Apicomplexans	6.34611	36.3	-	-	2016	Contig
Nannochloropsis gaditana	Protists	Other Protists	30.8657	55.3203	-	-	2017	Chromosome
Phytophthora parasitica	Protists	Other Protists	47.4491	49.6	21855	26676	2013	Scaffold
Tolypocladium inflatum	Fungi	Ascomycetes	29.8125	57.8	-	-	2018	Contig
Spraguea lophii	Fungi	Other Fungi	5.76477	23.2	-	-	2016	Contig
Trichinella pseudospiralis	Animals	Roundworms	48.3986	32.7	14621	14920	2015	Scaffold
Dothistroma septosporum	Fungi	Ascomycetes	30.6773	52.2	-	-	2017	Scaffold
Brettanomyces bruxellensis AWRI1499	Fungi	Ascomycetes	12.6765	39.8	3830	3744	2012	Contig
Penicillium solitum	Fungi	Ascomycetes	33.2134	47.9	11889	11889	2017	Scaffold
Apis cerana japonica	Animals	Insects	211.201	33	-	-	2017	Scaffold
Alternaria arborescens	Fungi	Ascomycetes	33.8229	51.1	-	-	2019	Contig
Macrophomina phaseolina	Fungi	Ascomycetes	48.3328	51.3	-	-	2015	Scaffold
Branchiostoma belcheri	Animals	Other Animals	417.038	39	-	-	2016	Scaffold
Larimichthys crocea	Animals	Fishes	721.257	41.3977	-	-	2018	Chromosome
Torulaspora delbrueckii	Fungi	Ascomycetes	11.525	41.5634	-	-	2015	Chromosome
Candida orthopsilosis AY2	Fungi	Ascomycetes	14.5117	37.3	-	-	2012	Contig
Seriola quinqueradiata	Animals	Fishes	627.269	39.9	-	-	2018	Scaffold
Cercospora sojina	Fungi	Ascomycetes	40.8364	53.1	-	-	2017	Contig
Chenopodium quinoa	Plants	Land Plants	1336.74	37	-	-	2017	Scaffold
Heliconius numata tarapotensis	Animals	Insects	7.86504	31.9	-	-	2015	Scaffold
Catharanthus roseus	Plants	Land Plants	0.114931	31.3	-	-	2015	Contig
Raphanus sativus	Plants	Land Plants	402.328	38.3	-	-	2014	Scaffold
Daldinia eschscholzii UM1020	Fungi	Ascomycetes	35.8424	46.5	-	-	2012	Contig
Anncaliia algerae	Fungi	Other Fungi	13.8234	25.5	-	-	2012	Contig
Aspergillus parasiticus	Fungi	Ascomycetes	30.1364	48.2	-	-	2016	Contig
Heterobasidion annosum	Fungi	Basidiomycetes	27.6963	52.4	-	-	2015	Scaffold
Hortaea werneckii	Fungi	Ascomycetes	48.7199	53.2	16323	16323	2018	Contig
Physeter catodon	Animals	Mammals	2512.14	39.7	-	-	2018	Scaffold
Pyricularia grisea W98-20	Fungi	Ascomycetes	37.7967	49.7	-	-	2018	Contig
Arabidopsis halleri	Plants	Land Plants	164.574	45.2	-	-	2018	Scaffold
Fusarium fujikuroi	Fungi	Ascomycetes	44.3248	48.2	16268	15940	2017	Contig
Nannochloropsis oceanica	Protists	Other Protists	27.6399	53.5	-	-	2011	Contig
Glycine soja	Plants	Land Plants	863.568	34.5	49536	49536	2014	Scaffold
Rhodotorula toruloides	Fungi	Basidiomycetes	20.4453	61.9	8527	8294	2014	Scaffold
Triticum dicoccoides	Plants	Land Plants	353.0540000000001	44.3	-	-	2018	Scaffold
Anguilla japonica	Animals	Fishes	1151.07	38.8	-	-	2017	Scaffold
Penicillium digitatum Pd01-ZJU	Fungi	Ascomycetes	25.0111	48.9	-	-	2013	Contig
Alligator mississippiensis	Animals	Reptiles	2156.98	44.3	-	-	2016	Scaffold
Oxytricha trifallax	Protists	Other Protists	57.457	31.2	-	-	2015	Contig
Trichuris suis	Animals	Roundworms	71.0564	43.6	14262	14262	2014	Scaffold
Aureobasidium pullulans AY4	Fungi	Ascomycetes	26.7227	49.8	-	-	2012	Contig
Plasmodium vinckei petteri	Protists	Apicomplexans	19.263	23.796	-	-	2018	Chromosome
Blastocystis sp. subtype 3	Protists	Other Protists	11.6514	52	-	-	2015	Scaffold
Plasmodium sp. gorilla clade G1	Protists	Apicomplexans	24.9826	19.4884	6200	5888	2018	Chromosome
Punica granatum	Plants	Land Plants	274.043	38.5	-	-	2018	Scaffold
Cyberlindnera jadinii	Fungi	Ascomycetes	12.7073	44.5	5566	5057	2015	Scaffold
Heterobasidion irregulare	Fungi	Basidiomycetes	26.3748	52.5	-	-	2015	Scaffold
Ustilago hordei	Fungi	Basidiomycetes	24.6343	51.2	-	-	2018	Scaffold
Nelumbo nucifera	Plants	Land Plants	799.4789999999998	39.1226	-	-	2018	Chromosome
Lates calcarifer	Animals	Fishes	589.095	40.4	-	-	2015	Scaffold
Angomonas deanei	Protists	Kinetoplasts	34.1038	50.4	16923	16888	2013	Scaffold
Leishmania tropica	Protists	Kinetoplasts	32.2807	59.6	-	-	2018	Scaffold
Fusarium pseudograminearum	Fungi	Ascomycetes	36.1785	48.3814	-	-	2016	Chromosome
Ensete ventricosum	Plants	Land Plants	429.48	39.4	56086	56086	2016	Contig
Volvariella volvacea WC 439	Fungi	Basidiomycetes	35.3439	48.8	-	-	2016	Scaffold
Phytophthora capsici	Protists	Other Protists	56.9046	49.9	-	-	2019	Scaffold
Theileria orientalis	Protists	Apicomplexans	12.9333	39.8	4787	4750	2018	Scaffold
Saccharomyces uvarum	Fungi	Ascomycetes	11.595	40.1	-	-	2014	Contig
Trichosporon asahii	Fungi	Basidiomycetes	24.6879	59.4	-	-	2016	Scaffold
Pichia kudriavzevii	Fungi	Ascomycetes	10.7831	38.3397	-	-	2018	Complete Genome
Zymoseptoria pseudotritici STIR04_5.3	Fungi	Ascomycetes	32.7967	53.4	-	-	2011	Contig
Zymoseptoria ardabiliae STIR04_3.13.1	Fungi	Ascomycetes	33.1904	53.6	-	-	2011	Contig
Phytophthora lateralis MPF6	Protists	Other Protists	49.0253	53.3	-	-	2013	Scaffold
Heliconius timareta timareta	Animals	Insects	8.81146	32.5	-	-	2015	Scaffold
Phytophthora kernoviae 00629/1	Protists	Other Protists	42.9896	49.7	-	-	2013	Scaffold
Rhizopus microsporus var. microsporus	Fungi	Other Fungi	24.9508	37.4	11554	11496	2017	Scaffold
Saccharomyces sp. 'boulardii'	Fungi	Ascomycetes	11.4069	38.1438	-	-	2014	Chromosome
Lichtheimia corymbifera B2541	Fungi	Other Fungi	36.6208	43.5	-	-	2014	Contig
Stachybotrys chartarum IBT 40293	Fungi	Ascomycetes	36.4805	53.2	11453	11453	2014	Scaffold
Chlamydomonas sp. 3222	Plants	Green Algae	120.064	59.6	-	-	2019	Scaffold
Aphanomyces astaci	Protists	Other Protists	53.7012	49.8	14410	14410	2018	Contig
Hanseniaspora uvarum	Fungi	Ascomycetes	8.82714	31.7	-	-	2018	Contig
Microbotryum lychnidis-dioicae	Fungi	Basidiomycetes	31.3314	55.7	-	-	2018	Contig
Kwoniella mangroviensis CBS 10435	Fungi	Basidiomycetes	22.6538	44.9	8565	8429	2013	Scaffold
Malassezia sympodialis ATCC 42132	Fungi	Basidiomycetes	7.78608	58.9133	4663	4502	2017	Complete Genome
Adineta vaga	Animals	Other Animals	216.205	30.7	-	-	2018	Contig
Colletotrichum fioriniae	Fungi	Ascomycetes	49.7925	51.5	-	-	2018	Scaffold
Rhizopogon vinicolor	Fungi	Basidiomycetes	35.0183	-	-	-	2018	Scaffold
Pygoscelis adeliae	Animals	Birds	1209.91	39.6	-	-	2018	Scaffold
Tricholoma matsutake	Fungi	Basidiomycetes	155.037	44.5	-	-	2018	Scaffold
Juglans regia	Plants	Land Plants	650.4780000000002	34.2	-	-	2018	Scaffold
Colletotrichum gloeosporioides	Fungi	Ascomycetes	53.0087	49.6	-	-	2018	Contig
Arabis alpina	Plants	Land Plants	171.78799999999995	36.3	-	-	2014	Contig
Rhizopus delemar Type II NRRL 21447	Fungi	Other Fungi	38.6741	35.6	-	-	2014	Scaffold
Cryptosporidium meleagridis	Protists	Apicomplexans	8.70698	31	-	-	2019	Scaffold
Acidomyces richmondensis	Fungi	Ascomycetes	26.82	49.7	10338	10338	2016	Contig
Trichoderma asperellum	Fungi	Ascomycetes	37.6867	46.9847	43	17	2014	Contig
Rhizophagus irregularis DAOM 197198w	Fungi	Other Fungi	90.4056	27.4	-	-	2014	Scaffold
Onchocerca ochengi	Animals	Roundworms	95.5134	29.3	13908	13698	2018	Scaffold
Fusarium equiseti	Fungi	Ascomycetes	40.5548	47.9	-	-	2018	Scaffold
Penicillium oxalicum	Fungi	Ascomycetes	30.6551	50.6	-	-	2016	Scaffold
Barnettozyma californica	Fungi	Ascomycetes	11.6309	41.6	-	-	2018	Scaffold
Sporothrix schenckii	Fungi	Ascomycetes	32.8724	54.8	-	-	2017	Scaffold
Komagataella phaffii CBS 7435	Fungi	Ascomycetes	9.40272	41.0841	5527	5291	2011	Chromosome
Phascolarctos cinereus	Animals	Mammals	2.95629	41.1	-	-	2018	Contig
Diuraphis noxia	Animals	Insects	95.7237	30	-	-	2017	Scaffold
Solanum pennellii	Plants	Land Plants	720.4580000000002	34	-	-	2014	Contig
Penicillium roqueforti	Fungi	Ascomycetes	26.072	48.9	-	-	2017	Contig
Albugo candida	Protists	Other Protists	33.1845	43.2	-	-	2012	Contig
Austropuccinia psidii MF-1	Fungi	Basidiomycetes	0.362051	40.5	-	-	2013	Contig
Byssochlamys spectabilis No. 5	Fungi	Ascomycetes	29.7624	48.6	8877	8877	2013	Contig
Auxenochlorella protothecoides	Plants	Green Algae	21.2176	62.5803	5852	5852	2018	Scaffold
Corynespora cassiicola	Fungi	Ascomycetes	43.6377	51.2	-	-	2018	Contig
Chlorella sorokiniana	Plants	Green Algae	61.3911	65.3	-	-	2018	Contig
Ustilaginoidea virens	Fungi	Ascomycetes	39.3977	49.9	8426	8426	2014	Scaffold
Aquila chrysaetos chrysaetos	Animals	Birds	1228.51	42.2	-	-	2018	Scaffold
Calypte anna	Animals	Birds	2021.12	41.5	-	-	2017	Contig
Epichloe bromicola ATCC 200750	Fungi	Ascomycetes	28.5799	45.3	-	-	2014	Contig
Lichtheimia ramosa B5399	Fungi	Other Fungi	45.567	41.2	-	-	2014	Contig
Venturia pyrina	Fungi	Ascomycetes	37.9468	-	-	-	2018	Scaffold
Dioscorea rotundata	Plants	Land Plants	683.283	35.2	-	-	2017	Scaffold
Anabas testudineus	Animals	Fishes	539.091	40.2	-	-	2019	Scaffold
Heliconius hecale	Animals	Insects	295.736	32	-	-	2015	Scaffold
Meyerozyma caribbica	Fungi	Ascomycetes	10.347	47.3	-	-	2017	Contig
Pythium insidiosum	Protists	Other Protists	35.5613	57	-	-	2016	Scaffold
Taiwanofungus camphoratus	Fungi	Basidiomycetes	32.1556	50.6	-	-	2014	Scaffold
Cyclospora cayetanensis	Protists	Apicomplexans	41.824	51.5	-	-	2018	Contig
Fusarium avenaceum	Fungi	Ascomycetes	42.7078	47.9828	-	-	2014	Scaffold
Penicillium italicum	Fungi	Ascomycetes	28.5976	47.2	-	-	2015	Scaffold
Sporisorium scitamineum	Fungi	Basidiomycetes	19.6326	55.2	6832	6702	2016	Scaffold
Exophiala mesophila	Fungi	Ascomycetes	30.4323	50	10373	10355	2019	Scaffold
Erysiphe necator	Fungi	Ascomycetes	49.4651	38.9	-	-	2014	Scaffold
Acanthamoeba lenticulata	Protists	Other Protists	66.0257	56.9	-	-	2015	Scaffold
Rhinocladiella mackenziei	Fungi	Ascomycetes	33.4096	50.3	-	-	2016	Contig
Rhodotorula mucilaginosa	Fungi	Basidiomycetes	19.0372	60.5	-	-	2019	Contig
Oscheius sp. TEL-2014	Animals	Roundworms	112.559	43.1	-	-	2016	Scaffold
Betta splendens	Animals	Fishes	426.644	45.5	-	-	2019	Scaffold
Starmerella bombicola	Fungi	Ascomycetes	9.57543	48.1	-	-	2019	Contig
Lotmaria passim	Protists	Kinetoplasts	27.7388	-	-	-	2017	Scaffold
Ipomoea trifida	Plants	Land Plants	512.991	40.1	-	-	2015	Scaffold
Monomorium pharaonis	Animals	Insects	262.529	35.7	-	-	2018	Scaffold
Cutaneotrichosporon curvatus	Fungi	Basidiomycetes	18.6373	57.9	-	-	2016	Scaffold
Plasmodiophora brassicae	Protists	Other Protists	24.0508	59.2	9727	9727	2015	Scaffold
[Candida] auris	Fungi	Ascomycetes	12.366	45.2	5584	5417	2017	Scaffold
Stemphylium lycopersici	Fungi	Ascomycetes	34.9957	51.2	9168	9079	2018	Scaffold
Malassezia furfur	Fungi	Basidiomycetes	13.7072	63.8	-	-	2015	Scaffold
Neonectria ditissima	Fungi	Ascomycetes	43.5592	52.4	-	-	2015	Scaffold
Rotaria magnacalcarata	Animals	Other Animals	337.586	31.7	-	-	2018	Scaffold
Saccharomyces eubayanus	Fungi	Ascomycetes	11.9499	39.8712	-	-	2018	Chromosome
[Candida] boidinii	Fungi	Ascomycetes	18.792	32.7	5181	5181	2017	Scaffold
Naganishia albida	Fungi	Basidiomycetes	20.8775	54	-	-	2015	Contig
Lycaon pictus	Animals	Mammals	2137.7	40.3	-	-	2019	Scaffold
Trichinella sp. T8	Animals	Roundworms	49.3318	33.6	14919	18455	2015	Scaffold
Galleria mellonella	Animals	Insects	483.24300000000005	33.8	-	-	2019	Contig
Purpureocillium lilacinum	Fungi	Ascomycetes	38.1405	57.9	11861	11773	2016	Scaffold
Phytophthora nicotianae	Protists	Other Protists	81.6101	50.3	17348	17348	2015	Scaffold
Heliconius ethilla	Animals	Insects	264.997	32.3	-	-	2015	Scaffold
Heliconius elevatus	Animals	Insects	347.389	32	-	-	2015	Scaffold
Heliconius pardalinus sergestus	Animals	Insects	277.374	32.2	-	-	2015	Scaffold
Plasmopara halstedii	Protists	Other Protists	67.6298	43.9	-	-	2018	Scaffold
Didymella pinodes	Fungi	Ascomycetes	33.8309	52.7	-	-	2019	Contig
[Candida] intermedia	Fungi	Ascomycetes	13.027	43.2	-	-	2016	Scaffold
Cyberlindnera fabianii	Fungi	Ascomycetes	12.1883	44.4	5509	5509	2017	Contig
Wickerhamiella domercqiae	Fungi	Ascomycetes	8.45368	48.7	-	-	2019	Scaffold
Wickerhamiella versatilis	Fungi	Ascomycetes	10.6478	44.8	-	-	2019	Scaffold
Cutaneotrichosporon cutaneum	Fungi	Basidiomycetes	23.1555	62	-	-	2016	Scaffold
Hypsizygus marmoreus	Fungi	Basidiomycetes	59.3842	49.6	-	-	2016	Scaffold
Colletotrichum tofieldiae	Fungi	Ascomycetes	53.4913	53.2	-	-	2016	Scaffold
Trichophyton interdigitale	Fungi	Ascomycetes	22.5912	48.5	-	-	2017	Scaffold
Cryptococcus gattii VGII CBS 10090	Fungi	Basidiomycetes	17.4787	47.8	6632	6485	2015	Scaffold
Cryptococcus gattii EJB2	Fungi	Basidiomycetes	17.671	47.9	6908	6763	2015	Scaffold
Plasmodium ovale wallikeri	Protists	Apicomplexans	35.6548	28.9	8571	8421	2016	Scaffold
Plasmodium malariae	Protists	Apicomplexans	31.9252	24.7	6410	6343	2016	Scaffold
Fusarium tucumaniae	Fungi	Ascomycetes	49.8863	-	-	-	2016	Contig
Calonectria pseudonaviculata	Fungi	Ascomycetes	49.8839	48.5	-	-	2019	Scaffold
Pleurotus eryngii	Fungi	Basidiomycetes	174.58	46.5	-	-	2018	Scaffold
Pleurotus salmoneostramineus	Fungi	Basidiomycetes	39.774	50	-	-	2017	Scaffold
Trichosporon inkin	Fungi	Basidiomycetes	20.8176	62.2	-	-	2019	Contig
Cryptosporidium ubiquitum	Protists	Apicomplexans	9.10086	30.8	-	-	2016	Scaffold
Cryptosporidium andersoni	Protists	Apicomplexans	8.96562	28.6	-	-	2016	Scaffold
Venturia inaequalis	Fungi	Ascomycetes	62.4874	42.6	-	-	2017	Scaffold
Rhizopogon vesiculosus	Fungi	Basidiomycetes	39.6302	47.8	-	-	2018	Scaffold
Blastomyces percursus	Fungi	Ascomycetes	32.5304	47.4	-	-	2018	Scaffold
Stramenopiles sp. TOSAG41-1	Protists	Other Protists	30.0448	40.5	-	-	2016	Scaffold
Microbotryum saponariae	Fungi	Basidiomycetes	29.5089	56.5	-	-	2016	Contig
Timema cristinae	Animals	Insects	931.401	-	-	-	2018	Scaffold
Laparus doris delila	Animals	Insects	208.689	33.4	-	-	2015	Scaffold
Cryphonectria radicalis	Fungi	Ascomycetes	40.4358	53	-	-	2018	Scaffold
Crithidia bombi	Protists	Kinetoplasts	31.5225	55.5	-	-	2017	Scaffold
Peronospora effusa	Protists	Other Protists	23.9926	46.8	-	-	2017	Scaffold
Solanum americanum	Plants	Land Plants	9.83576	36.8	-	-	2017	Contig
Colletotrichum fructicola	Fungi	Ascomycetes	57.0827	53.2	-	-	2017	Scaffold
[Candida] ipomoeae	Fungi	Ascomycetes	19.1292	43.5	-	-	2017	Scaffold
Metschnikowia bowlesiae	Fungi	Ascomycetes	17.2326	48.6	-	-	2017	Scaffold
Metschnikowia matae var. matae	Fungi	Ascomycetes	21.6662	40.9	-	-	2017	Scaffold
Spheniscus magellanicus	Animals	Birds	1209.86	39.6	-	-	2018	Scaffold
Pleurotus tuoliensis	Fungi	Basidiomycetes	43.5021	49.8	-	-	2018	Scaffold
Chlorella sp. KRBP	Plants	Green Algae	126.282	61.3	-	-	2019	Contig
Monilinia fructigena	Fungi	Ascomycetes	39.329	41.7	-	-	2018	Scaffold
Eurotiomycetes sp.	Fungi	Ascomycetes	24.4978	51.6	-	-	2018	Scaffold
Aplysina aerophoba	Animals	Other Animals	0.419638	57.9	-	-	2018	Contig
Uromyces transversalis	Fungi	Basidiomycetes	265.771	39.8	-	-	2018	Contig
Rhizopogon sp. AM-2018a	Fungi	Basidiomycetes	39.4005	-	-	-	2018	Scaffold
Rhizopogon rudus	Fungi	Basidiomycetes	33.1934	-	-	-	2018	Scaffold
Trichothecium roseum	Fungi	Ascomycetes	32.2014	52.8	-	-	2018	Scaffold
Elsinoe australis	Fungi	Ascomycetes	26.2791	51	-	-	2019	Scaffold
Fusarium tricinctum	Fungi	Ascomycetes	42.7961	47.983	-	-	2018	Contig
Lecanicillium sp. MT-2017a	Fungi	Ascomycetes	33.0136	52.9	-	-	2018	Contig
Morchella septimelata	Fungi	Ascomycetes	51.6552	46.7	-	-	2018	Scaffold
Clarireedia homoeocarpa	Fungi	Ascomycetes	42.2663	43.4	-	-	2015	Scaffold
Solanum verrucosum	Plants	Land Plants	715.934	35.1	-	-	2018	Contig
Blastomyces sp. MA-2018	Fungi	Ascomycetes	27.6348	47.1	-	-	2018	Scaffold
Brassica cretica	Plants	Land Plants	434.935	36.1	-	-	2018	Contig
Harmonia axyridis	Animals	Insects	581.414	-	-	-	2018	Scaffold
Parastagonospora avenaria f. sp. tritici	Fungi	Ascomycetes	33.7243	50.5	-	-	2018	Contig
Golovinomyces cichoracearum	Fungi	Ascomycetes	59.1018	40.2	6647	6647	2018	Scaffold
Venturia asperata	Fungi	Ascomycetes	34.1007	49.1	-	-	2018	Scaffold
Ascochyta lentis	Fungi	Ascomycetes	41.2617	48.4	-	-	2019	Contig
Phoma koolunga	Fungi	Ascomycetes	50.3594	28.9	-	-	2019	Contig
Alternaria tenuissima	Fungi	Ascomycetes	33.0662	51.3	12806	12849	2019	Scaffold
Dunaliella sp. YS1	Plants	Green Algae	91.2501	51.1	-	-	2019	Scaffold
Calonectria henricotiae	Fungi	Ascomycetes	49.0568	49.1	-	-	2019	Scaffold
Coniothyrium glycines	Fungi	Ascomycetes	38.208	33.6	-	-	2019	Contig
Calonectria henricotiae	Fungi	Ascomycetes	43.2658	49.8	-	-	2019	Scaffold
Dunaliella sp. RO	Plants	Green Algae	121.879	46.8	-	-	2019	Scaffold
Alternaria tenuissima	Fungi	Ascomycetes	33.9427	51.1	13028	13080	2019	Scaffold
Ascochyta lentis	Fungi	Ascomycetes	41.1933	48.5	-	-	2019	Contig
Parastagonospora avenaria f. sp. tritici	Fungi	Ascomycetes	37.6794	49.9	-	-	2018	Contig
Harmonia axyridis	Animals	Insects	557.776	-	-	-	2018	Scaffold
Brassica cretica	Plants	Land Plants	400.212	35.9	-	-	2018	Contig
Blastomyces sp. MA-2018	Fungi	Ascomycetes	32.4845	47.4	-	-	2018	Scaffold
Solanum verrucosum	Plants	Land Plants	659.291	34.6	-	-	2018	Contig
Clarireedia homoeocarpa	Fungi	Ascomycetes	48.7196	45.9	-	-	2017	Scaffold
Elsinoe australis	Fungi	Ascomycetes	27.1228	50.6	-	-	2019	Scaffold
Rhizopogon rudus	Fungi	Basidiomycetes	35.4858	-	-	-	2018	Scaffold
Rhizopogon sp. AM-2018a	Fungi	Basidiomycetes	40.1596	-	-	-	2018	Scaffold
Aplysina aerophoba	Animals	Other Animals	0.119538	57.1	-	-	2018	Contig
Solanum americanum	Plants	Land Plants	7.6066	36.9	-	-	2017	Contig
Peronospora effusa	Protists	Other Protists	24.8802	46.8	-	-	2017	Scaffold
Cryphonectria radicalis	Fungi	Ascomycetes	43.3208	49.3	-	-	2018	Scaffold
Microbotryum saponariae	Fungi	Basidiomycetes	29.4985	56.5	10729	10729	2018	Contig
Blastomyces percursus	Fungi	Ascomycetes	32.3569	47.3	-	-	2018	Scaffold
Rhizopogon vesiculosus	Fungi	Basidiomycetes	38.5572	48	-	-	2018	Scaffold
Venturia inaequalis	Fungi	Ascomycetes	40.1423	47.7	-	-	2016	Scaffold
Calonectria pseudonaviculata	Fungi	Ascomycetes	47.8307	49.8	-	-	2019	Scaffold
Plasmodium ovale wallikeri	Protists	Apicomplexans	36.407	29.4	8790	8646	2016	Scaffold
Cryptococcus gattii Ru294	Fungi	Basidiomycetes	17.8603	47.9	6904	6757	2015	Scaffold
Cryptococcus gattii VGII LA55	Fungi	Basidiomycetes	17.36	47.8	6646	6497	2015	Scaffold
Colletotrichum tofieldiae	Fungi	Ascomycetes	53.2162	52.6	-	-	2016	Scaffold
Cyberlindnera fabianii	Fungi	Ascomycetes	11.3663	44.9	-	-	2019	Scaffold
Didymella pinodes	Fungi	Ascomycetes	33.8754	52.6	-	-	2019	Contig
Plasmopara halstedii	Protists	Other Protists	79.8784	44.1	-	-	2019	Scaffold
Heliconius pardalinus sergestus	Animals	Insects	279.583	32.2	-	-	2015	Scaffold
Heliconius elevatus bari	Animals	Insects	355.088	31.6	-	-	2015	Scaffold
Heliconius ethilla	Animals	Insects	266.946	32.2	-	-	2015	Scaffold
Purpureocillium lilacinum	Fungi	Ascomycetes	37.5988	58.4	13150	13150	2018	Scaffold
[Candida] boidinii	Fungi	Ascomycetes	18.9761	31	4991	4991	2017	Scaffold
Malassezia furfur	Fungi	Basidiomycetes	14.3479	64.3	-	-	2015	Scaffold
